Wypisanie po algorytmie: 
Sciezka: 
1366, 1326, 1286, 1246, 1206, 1166, 1126, 1086, 1085, 1084, 1083, 
Najkrotsza droga z 0 do kolejnych wierzcholkow: 
dist 1000000 , prev  1000000 ,  node 114 ,  114
dist 1000000 , prev  1000000 ,  node 115 ,  115
dist 1000000 , prev  1000000 ,  node 116 ,  116
dist 1000000 , prev  1000000 ,  node 117 ,  117
dist 1000000 , prev  1000000 ,  node 118 ,  118
dist 1000000 , prev  1000000 ,  node 119 ,  119
dist 1000000 , prev  1000000 ,  node 120 ,  120
dist 1000000 , prev  1000000 ,  node 121 ,  121
dist 1000000 , prev  1000000 ,  node 122 ,  122
dist 1000000 , prev  1000000 ,  node 123 ,  123
dist 1000000 , prev  1000000 ,  node 124 ,  124
dist 1000000 , prev  1000000 ,  node 125 ,  125
dist 1000000 , prev  1000000 ,  node 126 ,  126
dist 1000000 , prev  1000000 ,  node 127 ,  127
dist 1000000 , prev  1000000 ,  node 128 ,  128
dist 1000000 , prev  1000000 ,  node 129 ,  129
dist 1000000 , prev  1000000 ,  node 130 ,  130
dist 1000000 , prev  1000000 ,  node 131 ,  131
dist 1000000 , prev  1000000 ,  node 132 ,  132
dist 1000000 , prev  1000000 ,  node 133 ,  133
dist 1000000 , prev  1000000 ,  node 134 ,  134
dist 1000000 , prev  1000000 ,  node 135 ,  135
dist 1000000 , prev  1000000 ,  node 136 ,  136
dist 1000000 , prev  1000000 ,  node 137 ,  137
dist 1000000 , prev  1000000 ,  node 138 ,  138
dist 1000000 , prev  1000000 ,  node 139 ,  139
dist 1000000 , prev  1000000 ,  node 140 ,  140
dist 1000000 , prev  1000000 ,  node 141 ,  141
dist 1000000 , prev  1000000 ,  node 142 ,  142
dist 1000000 , prev  1000000 ,  node 143 ,  143
dist 1000000 , prev  1000000 ,  node 144 ,  144
dist 1000000 , prev  1000000 ,  node 145 ,  145
dist 1000000 , prev  1000000 ,  node 146 ,  146
dist 1000000 , prev  1000000 ,  node 147 ,  147
